iter	MultiClass
0	1.096905412
1	1.084885318
2	1.080732523
3	1.071515077
4	1.052273686
5	1.041997601
6	1.040002771
7	1.038569517
8	1.032196082
9	1.017434493
10	1.008793497
11	1.007478265
12	0.9990643218
13	0.9919641939
14	0.9790559838
15	0.9619340893
16	0.9494418205
17	0.9373633378
18	0.9243032479
19	0.9136786627
20	0.9010836151
21	0.8937140359
22	0.88242257
23	0.8740942497
24	0.8661477538
25	0.8591309767
26	0.8514215482
27	0.8505345768
28	0.8427021757
29	0.8332327374
30	0.8306478184
31	0.8298585698
32	0.8187312092
33	0.8090413484
34	0.8017881257
35	0.7920750733
36	0.7858685777
37	0.7732025507
38	0.7631366727
39	0.7582457079
40	0.7500245715
41	0.7381584316
42	0.729598369
43	0.7274953417
44	0.7214233062
45	0.7208903384
46	0.7117464068
47	0.7037088608
48	0.7025147207
49	0.6937384371
50	0.6918519227
51	0.6813213225
52	0.6738750631
53	0.6666154567
54	0.6613111025
55	0.6543667832
56	0.6495074985
57	0.6460022734
58	0.6364894354
59	0.6271811605
60	0.6197480672
61	0.6194037532
62	0.6104645519
63	0.6090319858
64	0.6003180896
65	0.5917883837
66	0.5870295152
67	0.5812469864
68	0.5731180847
69	0.5651586283
70	0.5601379468
71	0.5537825158
72	0.5462158414
73	0.5444930845
74	0.5371171784
75	0.5298920098
76	0.5228138194
77	0.5158789492
78	0.5118897341
79	0.5072365349
80	0.5026881102
81	0.49824151
82	0.4980735978
83	0.4916462674
84	0.4853458913
85	0.4791693613
86	0.475086209
87	0.4691137212
88	0.4651991984
89	0.4604649235
90	0.4558078003
91	0.4502062508
92	0.4456159126
93	0.4420359197
94	0.4376650586
95	0.4338167259
96	0.4286346792
97	0.4253004874
98	0.4222786475
99	0.4191100938
100	0.4158889424
101	0.4110356349
102	0.4075500791
103	0.4028525923
104	0.398983875
105	0.394440908
106	0.3907017567
107	0.3863068254
108	0.3827639379
109	0.3799904346
110	0.3773050888
111	0.3738113817
112	0.3697149099
113	0.3671518954
114	0.363804662
115	0.3612844835
116	0.3580222774
117	0.3561916909
118	0.352401055
119	0.3493433792
120	0.3470133728
121	0.3433791635
122	0.3416941138
123	0.3394728961
124	0.3359655307
125	0.3338181402
126	0.3317090775
127	0.3296374351
128	0.3262959163
129	0.3230093729
130	0.3202714606
131	0.3183270652
132	0.3164162104
133	0.3145021511
134	0.3126504804
135	0.3100447664
136	0.3070214591
137	0.304584521
138	0.3016471851
139	0.2987562832
140	0.2970261223
141	0.2946269071
142	0.2929776698
143	0.2906314711
144	0.287911652
145	0.2863325709
146	0.2847328534
147	0.2821032409
148	0.2805933371
149	0.2784935717
150	0.2759581862
151	0.2745129544
152	0.2720375718
153	0.2695992476
154	0.2671972473
155	0.2648308542
156	0.2629228849
157	0.2609522927
158	0.2596421807
159	0.2573858212
160	0.2555662388
161	0.2536851813
162	0.2515142974
163	0.2493745593
164	0.2472653713
165	0.2455627292
166	0.2443853379
167	0.2432202394
168	0.2414880153
169	0.239488704
170	0.2375173159
171	0.2355733291
172	0.2344775101
173	0.232849014
174	0.2309692069
175	0.2293830745
176	0.2275505055
177	0.2257427782
178	0.2239594401
179	0.2222000491
180	0.2207755822
181	0.219367294
